summary,vocab,relation,category
coffee beans by dao central embassy is delicious,delicious,foodreview,1
coffee beans by dao is a superb craft beer micro pub with a great kitchen too,beer,foodreview,1
coffee beans by dao is delicious,delicious,foodreview,1
coffee beans by dao ruamrudee branch is affordable and tasty,tasty,foodreview,1
coffee beans by dao ruamrudee branch is nice beach restaurant,nice beach restaurant,Locationreviews,0
coffee beans by dao ruamrudee branch is probably the most tasty place on the beach,tasty,foodreview,1
coffee beans by dao ruamrudee branch is tasty thai restaurant on the beach,tasty,foodreview,1
coffee corner is best food and best view,best food,foodreview,1
coffee corner is excellent dinner buffet with variety and vegetarian options,dinner,foodreview,1
coffee corner kitchen is nice view restaurant on the beach,nice view,Locationreviews,0
coffee table top is sea food with a view,sea,Locationreviews,0
coffeenergy is amazing place with brilliant service,place,Locationreviews,0
coffeenergy is fabulous dinner,dinner,foodreview,1
coffeenergy is great food great wine great view,great food,foodreview,1
colonnade is a disappointed lunch,lunch,foodreview,1
colonnade is nice view and decent food,nice view,Locationreviews,0
come eat is amazing,eat,foodreview,1
come eat is great for when you are sick of noodles,eat,foodreview,1
come eat is surprsing taste of home in bangkok,eat,foodreview,1
come eat is wow great mexican food,eat,foodreview,1
come thai is rustic little beach bar with welcoming hosts,little beach,Locationreviews,0
common room is one of my favorite place in patong,favorite place,Locationreviews,0
common room is thai and west food both delicious,delicious,foodreview,1
connect cafe is good food with good environment,good food,foodreview,1
connect cafe is great overall interesting food good vibe with bar and band,good vibe,Locationreviews,0
convent yentafo is authentic and amazing k bbq in bangkok,bbq,foodreview,1
convent yentafo is very delicious,delicious,foodreview,1
cook with love sushi bar is excellent quality food,quality food,foodreview,1
cook with love sushi bar is good food good selection,good food,foodreview,1
cookies at falang paradise is fresh and delicious seafood,delicious,foodreview,1
cookies at falang paradise is yummy seafood a boat ride away,yummy,foodreview,1
cookkai is for hilton and peninsula guests if you want to try local food here is a must,local,Locationreviews,0
cookkai is old time sukiyaki located in old town of bangkok,located,Locationreviews,0
cool chilli restaurant is best mojito in town,town,Locationreviews,0
cool chilli restaurant is good lunch break,lunch,foodreview,1
cool relax is best mojito in town,relax,Locationreviews,0
cool relax is good lunch break,relax,Locationreviews,0
cool relax is great value,relax,Locationreviews,0
cool relax is hangout in bkk charoen krung cafe,relax,Locationreviews,0
copper aquarium restaurant is attentive staff and good breakfast,breakfast,foodreview,1
copper aquarium restaurant is average breakfast buffet,breakfast,foodreview,1
copper aquarium restaurant is excellent breakfast variety,breakfast,foodreview,1
coral restaurant and bar is great for lunch,lunch,foodreview,1
coral restaurant is attentive staff and good breakfast,breakfast,foodreview,1
coral restaurant is average breakfast buffet,breakfast,foodreview,1
coral restaurant is excellent breakfast variety,breakfast,foodreview,1
corner 112 is great for lunch,lunch,foodreview,1
corner restaurant is good view almost on the beach,good view,Locationreviews,0
corner restaurant is outstanding,outstanding,Locationreviews,0
cosa nostra 2 is quiet seaside restaurant,seaside restaurant,Locationreviews,0
cosa nostra 3 is good quality food for great price,quality food,foodreview,1
cosa nostra 3 is great food in a good area with a great local vibe silly name but worth visiting,great food,foodreview,1
cosmo restaurant bar is great food at a great price,great food,foodreview,1
cosmo restaurant bar is late evening dinner was fine,dinner,foodreview,1
costa coffee siam paragon shopping center is lucky find,lucky find,Locationreviews,0
costa grill is friendly staff and decent dinner here,dinner,foodreview,1
costa grill is good breakfast,breakfast,foodreview,1
cotton breakfast restaurant is always great,breakfast,foodreview,1
cotton breakfast restaurant is good small restaurant,breakfast,foodreview,1
cotton breakfast restaurant is super,breakfast,foodreview,1
cotton breakfast restaurant is yummy comfort food,breakfast,foodreview,1
cottontree coffee and cafe is taste the passion,taste,foodreview,1
counting sheep corner is taste the passion,taste,foodreview,1
coyote is local and convenient,local,Locationreviews,0
coyote is nice place north of hua hin,nice place,Locationreviews,0
crab and claw is delicious,crab,foodreview,1
crab and claw is good place ,crab,foodreview,1
crab and claw is good value great staff,crab,foodreview,1
crab and claw is great food,crab,foodreview,1
crab house closed is chef jimmy restaurant,crab,foodreview,1
crab house closed is good menu,crab,foodreview,1
crab house closed is great thai food with fantastic local service,crab,foodreview,1
crab house closed is really cozy,crab,foodreview,1
cradle is great thai food with fantastic local service,local,Locationreviews,0
craft room is delicious dim sum,delicious,foodreview,1
craft room is great food extraordinary service,great food,foodreview,1
craft sukhumvit soi 23 is delicious food good service i will definitely be returning,delicious,foodreview,1
craft sukhumvit soi 23 is i stayed because location was convenient for my work schedule,location,Locationreviews,0
crave wine bar restaurant aloft bangkok is best panang curry in thailand,curry,foodreview,1
crave wine bar restaurant aloft bangkok is fantastic food and service,fantastic food,foodreview,1
crazy gringos mexican restaurant is best panang curry in thailand,curry,foodreview,1
crepes co langsuan soi 1 is excellent russian food,crepes,foodreview,1
crepes co langsuan soi 1 is great food,crepes,foodreview,1
crepes co langsuan soi 1 is mediocre food seriously bad service,crepes,foodreview,1
crepes co langsuan soi 1 is surprise,crepes,foodreview,1
crepes co thonglor soi 9 is an owner who is passionate about his business,crepes,foodreview,1
crepes co thonglor soi 9 is great british pub,crepes,foodreview,1
crepes co thonglor soi 9 is some bars go up and down this one has always stayed on top excellent,crepes,foodreview,1
crepes co thonglor soi 9 is still my favorite place,crepes,foodreview,1
croco pizza is great british pub,british,foodreview,1
croco pizza is still my favorite place,favorite place,Locationreviews,0
crostini is great food supper service,crostini,foodreview,1
crostini is great for cheap thai food,crostini,foodreview,1
crostini is great thaifood,crostini,foodreview,1
crostini is tasty good value food,crostini,foodreview,1
crown kitchen restaurant is excellent food,excellent food,foodreview,1
crown kitchen restaurant is taste food,taste,foodreview,1
crown of india is international buffet,international buffet,foodreview,1
cru 2nd floor wine bar is dinner,dinner,foodreview,1
cru 2nd floor wine bar is yum,yum,foodreview,1
crust at anantara vacation club is french cuisine at its best,cuisine,foodreview,1
crust at anantara vacation club is great simple french food very relaxed,french food,foodreview,1
crust at anantara vacation club is yummy,yummy,foodreview,1
crystal grill is a great southern french cuisine on loi khroh road nightlife,cuisine,foodreview,1
crystal grill is excellent food and atomsphere,excellent food,foodreview,1
crystal grill is wow what a steak,steak,foodreview,1
crystal jade golden palace is good food here,good food,foodreview,1
crystal jade golden palace is great food and very friendly,great food,foodreview,1
cucina is authentic french cuisine in an unlikely locale,cuisine,foodreview,1
cucina is good breakfast on the main road,breakfast,foodreview,1
cuisine unplugged is best north chang mai food no qs,cuisine,foodreview,1
cuisine unplugged is great food and service,cuisine,foodreview,1
cuisine unplugged is hidden treasure,cuisine,foodreview,1
cuisine unplugged is the best northern food in southern thailand,cuisine,foodreview,1
curry delight indian restaurant is absolutely amazing food,curry,foodreview,1
curry delight indian restaurant is nice atmosphere,curry,foodreview,1
curry delight indian restaurant is not recommended,curry,foodreview,1
curry delight indian restaurant is worst dinner in bkk,curry,foodreview,1
curry hut is disappointment,curry,foodreview,1
curry hut is new format,curry,foodreview,1
curry hut is new format,curry,foodreview,1
curry hut is quiet restaurant just off the busy main road,curry,foodreview,1
curry king indian restaurant is amazing restaurant cannot fault,curry,foodreview,1
curry king indian restaurant is chill chill a pai,curry,foodreview,1
curry king indian restaurant is don t believe the hype,curry,foodreview,1
curry king indian restaurant is excellent food drink and service,curry,foodreview,1
curry night indian restaurant is amazing restaurant cannot fault,curry,foodreview,1
curry night indian restaurant is chill chill a pai,curry,foodreview,1
curry night indian restaurant is don t believe the hype,curry,foodreview,1
curry night indian restaurant is excellent food drink and service,curry,foodreview,1
curve residence bar restaurant is a nice place with live music,nice place,Locationreviews,0
curve residence bar restaurant is large open terrace with dance floor and nightly philippino band good service nice place for after dinner,nice place,Locationreviews,0
cut grill lounge is beautiful food with a view,beautiful,Locationreviews,0
cut grill lounge is tasty dishes,tasty,foodreview,1
cute corner cuisine is beautiful food with a view,cuisine,foodreview,1
cute corner cuisine is restaurant,cuisine,foodreview,1
cute corner cuisine is tasty dishes,cuisine,foodreview,1
cute corner cuisine is we had to come for a second evening soo good,cuisine,foodreview,1
d e d thailand is beautiful view and great home cooked food,beautiful view,Locationreviews,0
d e d thailand is great food,great food,foodreview,1
d e d thailand is great food and a bit different eating up in a treehouse,great food,foodreview,1
d e d thailand is great food but,great food,foodreview,1
d o c g is excellent food and very good staff,excellent food,foodreview,1
d o c g is sea prawns pineapple rice,sea,Locationreviews,0
d o c g is top place,place,Locationreviews,0
d restaurant is best food in thailand,best food,foodreview,1
d restaurant is location marked wrong,location,Locationreviews,0
d restaurant is tasty thai,tasty,foodreview,1
d wine italian bistro wine bar is best food in thailand,best food,foodreview,1
d wine italian bistro wine bar is location marked wrong,location,Locationreviews,0
d wine italian bistro wine bar is tasty thai,tasty,foodreview,1
da capo by chef eddy is tasty but overpriced,tasty,foodreview,1
da mamma restaurant is tasty but overpriced,tasty,foodreview,1
da marco is delicious thai food served with a smile,delicious,foodreview,1
da marco is great food excellent cooking class,great food,foodreview,1
da maria is contemporary thai restaurant,contemporary,foodreview,1
da maria is great food good service,great food,foodreview,1
da maria is yummy food in unique style,yummy,foodreview,1
da mario is good food in a cozy resturant,good food,foodreview,1
da mario is nice place in jomtien,nice place,Locationreviews,0
da mario italian restaurant is good food excellent coffee and cake value price love this,good food,foodreview,1
da mario italian restaurant is modern thai food great atmosphere,great atmosphere,Locationreviews,0
da mario italian restaurant is relaxed and really good,relaxed,Locationreviews,0
da mario karon is great pomelo salad nice ambience in the backyard,salad,foodreview,1
da maurizio beach side is dim sum,dim sum,foodreview,1
da maurizio beach side is good food service,good food,foodreview,1
da no 1 is restaurant with large glass windows and great view of the grand palace and the temple of dawn,view,Locationreviews,0
dada kafe is delicious,delicious,foodreview,1
dada kafe is good food,good food,foodreview,1
daeng restaurant is lovely place to eat and the food was amazing,place to,Locationreviews,0
daimasu is chilled place to while away a long lunch,place to,Locationreviews,0
daimasu is good food with nice drink,good food,foodreview,1
dairy hut seafood is great place,great place,Locationreviews,0
dairy hut seafood is one of the tastiest thai restaurants in town,town,Locationreviews,0
dairy hut seafood is quick dinner,dinner,foodreview,1
dak galbi terminal 21 is tourist style place worth a visit,place,Locationreviews,0
dalad vietnamese restaurant is thematic outdoor dinner,dinner,foodreview,1
dalian chinese cuisine restaurant is best resturant food in the area,cuisine,foodreview,1
dalian chinese cuisine restaurant is continued excellence,cuisine,foodreview,1
dalian chinese cuisine restaurant is just great,cuisine,foodreview,1
dalian chinese cuisine restaurant is resurrecting a delight,cuisine,foodreview,1
damaria restaurant is i love this place,love this place,Locationreviews,0
damaria restaurant is premium american cuisine,cuisine,foodreview,1
damaria restaurant is tasty burger,tasty,foodreview,1
dancing maharajah is nice western themed steak house,steak,foodreview,1
dang dam yentafo is delicious food and good wine list,delicious,foodreview,1
dang dam yentafo is delicious meal with nice view,delicious,foodreview,1
dang restaurant is beautiful restaurant average food,beautiful,Locationreviews,0
dang restaurant is freshiest seafood and great location,location,Locationreviews,0
dang restaurant is sunday lunch,lunch,foodreview,1
dangs is great place with super authentic thai food,great place,Locationreviews,0
daniel thaiger is great place with super authentic thai food,great place,Locationreviews,0
danny s bar restaurant 44 is lovely view and great food,view,Locationreviews,0
danny s place kamala is amazing all round,place,Locationreviews,0
danny s place kamala is great food with great views and service,place,Locationreviews,0
danny s place kamala is nice little eatery on top of hill,place,Locationreviews,0
danny s place kamala is quick stop,place,Locationreviews,0
dao thong restaurant is good breakfast ok dinner,breakfast,foodreview,1
dao thong restaurant is great buffet breakfast lunch,buffet,foodreview,1
dao thong restaurant is great venue great view,view,Locationreviews,0
dar restaurant is beautiful food and ambiance,beautiful,Locationreviews,0
dar restaurant is sunday lunch was a let down,lunch,foodreview,1
davinci restaurant is beautiful food and ambiance,beautiful,Locationreviews,0
davinci restaurant is sunday lunch was a let down,lunch,foodreview,1
dazzle is authentic thai bbq,bbq,foodreview,1
dazzle is go local,local,Locationreviews,0
dd fusion food homestay is authentic thai bbq,fusion,foodreview,1
dd fusion food homestay is go local,fusion,foodreview,1
dd fusion food homestay is not for the faint hearted,fusion,foodreview,1
dd fusion food homestay is not for wimps,fusion,foodreview,1
ddee coffee house is taste is good but not value for money,taste,foodreview,1
de cafe halal food is cozy restaurant with great food and coffee,great food,foodreview,1
de cafe halal food is really good lunch,lunch,foodreview,1
de o sha restaurant is good food amazing chocolate,good food,foodreview,1
de o sha restaurant is very good food,good food,foodreview,1
de tummour gaysorn village is good food amazing chocolate,good food,foodreview,1
de tummour gaysorn village is very good food,good food,foodreview,1
dean deluca blue port hua hin is good steak,steak,foodreview,1
dean deluca central embassy is authentic best indian food in pattaya,indian food,foodreview,1
dean deluca central embassy is very nice indian food,indian food,foodreview,1
dean deluca central embassy is worst indian food i had,indian food,foodreview,1
dean deluca is delicious pulled pork burger,delicious,foodreview,1
dean deluca is lunch,lunch,foodreview,1
dean deluca mahanakhon cube is authentic italian mediterranean cuisine,cuisine,foodreview,1
dean deluca mahanakhon cube is best location good food,location,Locationreviews,0
dean deluca mahanakhon cube is excellent food,excellent food,foodreview,1
dean deluca mahanakhon cube is excellent food and service,excellent food,foodreview,1
debo cafe is authentic italian mediterranean cuisine,cuisine,foodreview,1
debo cafe is best location good food,location,Locationreviews,0
debo cafe is excellent food,excellent food,foodreview,1
debo cafe is excellent food and service,excellent food,foodreview,1
decanter is cocktails pizza and sunset,cocktails,foodreview,1
dedos is delicious,delicious,foodreview,1
dedos is favorite place,favorite place,Locationreviews,0
dedos lelounge is outstanding,outstanding,Locationreviews,0
dee lish bar restaurant is dinner,dinner,foodreview,1
dee lish bar restaurant is dinner,dinner,foodreview,1
dee lish is 360 view,view,Locationreviews,0
dee lish is great vibe great service,vibe,Locationreviews,0
dee lish restaurant is good food and lively atmosphere,good food,foodreview,1
dee lite doubletree by hilton is 360 view,view,Locationreviews,0
dee lite doubletree by hilton is great vibe great service,vibe,Locationreviews,0
dee lounge and beer garden is buffet dinner,beer,foodreview,1
dee lounge and beer garden is fabulous,beer,foodreview,1
dee lounge and beer garden is holiday,beer,foodreview,1
dee lounge and beer garden is wide variety of tasty breakfast,beer,foodreview,1
dee plee anantara layan phuket resort is buffet dinner,buffet,foodreview,1
dee plee anantara layan phuket resort is wide variety of tasty breakfast,tasty,foodreview,1
dee prom is excellent food,excellent food,foodreview,1
dee prom is great buffet lunch,buffet,foodreview,1
dee s cook house is good food and lively atmosphere,good food,foodreview,1
dee seafood is must have time to eat in resturang,eat,foodreview,1
dee seafood is nice setting but not as good food,good food,foodreview,1
dee seefood is very nice place to visit nighttime becomes magical,nice place,Locationreviews,0
deepavali indian restaurant bangtao place is good smoothies not so good food,place,Locationreviews,0
deepavali indian restaurant bangtao place is great food great service and great price great restaurant,place,Locationreviews,0
deepavali indian restaurant bangtao place is i love this place i eat here everyday,place,Locationreviews,0
deepavali indian restaurant bangtao place is lovely place,place,Locationreviews,0
delhi darbar is beautiful location,beautiful,Locationreviews,0
delhi darbar is breafast with a view,view,Locationreviews,0
delhi darbar is sunset view,view,Locationreviews,0
deli jw marriott khao lak resort spa is delicious home style thai food,delicious,foodreview,1
deli jw marriott khao lak resort spa is little hidden away gem,gem,Locationreviews,0
deli jw marriott khao lak resort spa is the new location of clik thailand the 51,location,Locationreviews,0
delices de capoue is amazing place,place,Locationreviews,0
delices de capoue is dinner,dinner,foodreview,1
delices de capoue is exceptionally good best food service and views in phuket,best food,foodreview,1
delights restaurant is fluffy pancakes,pancakes,foodreview,1
delights restaurant is good chicken waffle and root beer float,waffle,foodreview,1
delights restaurant is very poor breakfast,breakfast,foodreview,1
delish cafe is fluffy pancakes,pancakes,foodreview,1
delish cafe is good chicken waffle and root beer float,waffle,foodreview,1
delish cafe is very poor breakfast,breakfast,foodreview,1
delizie is great food and cocktails,great food,foodreview,1
delizie is great food great beer,great food,foodreview,1
den danske bager is great food and cocktails,great food,foodreview,1
den danske bager is great food great beer,great food,foodreview,1
desi beats is beat cocktails in phuket,cocktails,foodreview,1
desi beats is super place to visit,place to,Locationreviews,0
destiny cafe restaurant is nice food,nice food,foodreview,1
destiny cafe restaurant is welcome respite in sea of chain hotels,sea,Locationreviews,0
det5 is nice food,nice food,foodreview,1
det5 is welcome respite in sea of chain hotels,sea,Locationreviews,0
detox juice bar is delicious food good service,delicious,foodreview,1
detox juice bar is great food and service,great food,foodreview,1
devilish eats is dinner and drinks,dinner,foodreview,1
devilish eats is dinner at the pavillion,dinner,foodreview,1
deya deli is beach front,is beach,Locationreviews,0
deya deli is lunch post pool,lunch,foodreview,1
deya deli is ribs and wings all you can eat night,ribs,foodreview,1
di farina is great staff service normal decent italian cuisine,cuisine,foodreview,1
di farina pizza bar is great food great service,great food,foodreview,1
di vino is lunch with friends,lunch,foodreview,1
diamond cliff beach restaurant is amazing chinese food,chinese food,foodreview,1
diamond cliff beach restaurant is best chinese style hot pot in bkk,hot pot,foodreview,1
diamond cliff beach restaurant is place with nice ambience and decor but very disappointing food,place,Locationreviews,0
diavolo is amazing chinese food,chinese food,foodreview,1
diavolo is best chinese style hot pot in bkk,hot pot,foodreview,1
diavolo is place with nice ambience and decor but very disappointing food,place,Locationreviews,0
dibuka is beautiful view lovely staff and delicious food,beautiful view,Locationreviews,0
dibuka is excellent food friendly service,excellent food,foodreview,1
dibuka is wonderfull place to eat,place to,Locationreviews,0
dice cafe is beautiful view lovely staff and delicious food,beautiful view,Locationreviews,0
dice cafe is excellent food friendly service,excellent food,foodreview,1
dice cafe is wonderfull place to eat,place to,Locationreviews,0
dicey reilly s bar restaurant is great view nice dinner with the kids,view,Locationreviews,0
dicey reilly s bar restaurant is lunch,lunch,foodreview,1
dicey reilly s bar restaurant is nice place for sunset view,nice place,Locationreviews,0
dick s cafe jomtien is great view nice dinner with the kids,view,Locationreviews,0
dick s cafe jomtien is lunch,lunch,foodreview,1
dick s cafe jomtien is nice place for sunset view,nice place,Locationreviews,0
dilli haat is delicious japanese curry dishes,delicious,foodreview,1
dilli haat is lunch,lunch,foodreview,1
din tai fung central embassy branch is lovely japanese curry,japanese curry,foodreview,1
din tai fung central embassy branch is nice food nice taste of japanese curry,nice food,foodreview,1
din tai fung central embassy branch is quick and cheap eats for japanese food lovers,japanese food,foodreview,1
din tai fung central embassy branch is tasteful omurice and spicy curry,spicy curry,foodreview,1
din tai fung central world is lovely japanese curry,japanese curry,foodreview,1
din tai fung central world is nice food nice taste of japanese curry,nice food,foodreview,1
din tai fung central world is quick and cheap eats for japanese food lovers,japanese food,foodreview,1
din tai fung central world is tasteful omurice and spicy curry,spicy curry,foodreview,1
din tai fung is delicious japanese curry dishes,delicious,foodreview,1
din tai fung is lunch,lunch,foodreview,1
dine at seven is great taste and value,taste,foodreview,1
dinner in the sky thailand is always good to go back,dinner,foodreview,1
dinner in the sky thailand is fair enough for traveller,dinner,foodreview,1
dinner in the sky thailand is good music average food,dinner,foodreview,1
dinner in the sky thailand is the best biriyani and mutton of bangkok,dinner,foodreview,1
dino park is outstanding,outstanding,Locationreviews,0
dino park is romantic sunset at beach,romantic sunset,Locationreviews,0
dino park is still fantastic place to eat,place to,Locationreviews,0
dino s restaurant bar is what a gem,gem,Locationreviews,0
diplomat bar is plenty of other nicer places at the beach,the beach,Locationreviews,0
diplomat bar is spiked cocktail,cocktail,foodreview,1
dirham halal restaurant is delicious,delicious,foodreview,1
dirham halal restaurant is great location,location,Locationreviews,0
dirham halal restaurant is wonderful food,wonderful,Locationreviews,0
dirham halal restaurant is wonderful place that i come back to every year,wonderful place,Locationreviews,0
discovery cafe is delicious,delicious,foodreview,1
discovery cafe is great location,location,Locationreviews,0
discovery cafe is wonderful food,wonderful,Locationreviews,0
discovery cafe is wonderful place that i come back to every year,wonderful place,Locationreviews,0
distil is great food and service,great food,foodreview,1
distil is nice view,nice view,Locationreviews,0
divino osteria is love the food love the owner more,love the food,foodreview,1
divino tapas restaurant is dinner,tapas,foodreview,1
divino tapas restaurant is good food at a reasonable price,tapas,foodreview,1
divino tapas restaurant is nice local table right on beach,tapas,foodreview,1
divino tapas restaurant is quaint local restaurant in a spectacular setting,tapas,foodreview,1
doi chaang caffe karon beach phuket is beautiful view,karon beach,Locationreviews,0
doi chaang caffe karon beach phuket is beautiful view table right on beach,karon beach,Locationreviews,0
doi chaang caffe karon beach phuket is good food at a reasonable price,karon beach,Locationreviews,0
doi chaang caffe karon beach phuket is quaint local restaurant in a spectacular setting,karon beach,Locationreviews,0
doi soi 12 cafe and restaurant is everyday good food,good food,foodreview,1
doi soi 12 cafe and restaurant is good lunch friendly service,lunch,foodreview,1
doi soi 12 cafe and restaurant is great food great staff and cheaper than the rest,great food,foodreview,1
doi soi 12 cafe and restaurant is great fresh food,fresh food,foodreview,1
dok bua vegetarian restaurant is always a great lunch spot,vegetarian,foodreview,1
dok bua vegetarian restaurant is fantastic,vegetarian,foodreview,1
dok bua vegetarian restaurant is love coconut seafood restaurant,vegetarian,foodreview,1
dok bua vegetarian restaurant is most relaxed and enjoyed the whole trip,vegetarian,foodreview,1
dolci delizie da giuliano is best food we ate in thailand,best food,foodreview,1
dolci delizie da giuliano is very tasty thai food amazing value lovely people,tasty,foodreview,1
dom pizzas is clean and good thai food,pizzas,foodreview,1
dom pizzas is empty at low season,pizzas,foodreview,1
dom pizzas is nice one,pizzas,foodreview,1
dom pizzas is professionalism no surprise,pizzas,foodreview,1
dom s kitchen is good and low cost opposite a great beach,great beach,Locationreviews,0
dom s kitchen is good local fresh seafood,good local,Locationreviews,0
don giovanni is cheap beer,beer,foodreview,1
don giovanni is good cheap cocktails and dinner,cocktails,foodreview,1
don giovanni is not sure about this place,place,Locationreviews,0
don s bar b q is best dinner so far in khao lak,dinner,foodreview,1
don s bar b q is great place for dinner and a drink,great place,Locationreviews,0
don vito trattoria and wine bar is best dinner so far in khao lak,dinner,foodreview,1
don vito trattoria and wine bar is great place,great place,Locationreviews,0
dong e korean restaurant is amazing restaurant with very good food and selection of drinks,good food,foodreview,1
dong e korean restaurant is early lunch,lunch,foodreview,1
dons bar bbq is a bit disappointed in the service,bbq,foodreview,1
dons bar bbq is great service food okay,bbq,foodreview,1
dons bar bbq is highly recommend,bbq,foodreview,1
dons bar bbq is huge hype average quality,bbq,foodreview,1
doo dee siam is delicious food,delicious,foodreview,1
dosa king punjabi south indian vegetarian is again something out of the hectic,vegetarian,foodreview,1
dosa king punjabi south indian vegetarian is classy coffee bean,vegetarian,foodreview,1
dosa king punjabi south indian vegetarian is good location,vegetarian,foodreview,1
dosa king punjabi south indian vegetarian is great coffee,vegetarian,foodreview,1
double b restaurant is good food and service,good food,foodreview,1
dow restaurant is good food good ambience good service,good food,foodreview,1
dow restaurant is nice place to work on weekends decent coffe,nice place,Locationreviews,0
dream beach club phuket is delicious lunch,delicious,foodreview,1
dream beach club phuket is good food and bakery,good food,foodreview,1
dreams is cozy place and delicious food,place,Locationreviews,0
dreams is good food and nice staff,good food,foodreview,1
dressed is good value lunch,lunch,foodreview,1
drift beach club is beautiful place.,beautiful place,Locationreviews,0
drift beach club is great place,great place,Locationreviews,0
drift beach club is great place for breakfast,great place,Locationreviews,0
drift beach club is great place for brunch,great place,Locationreviews,0
drift is perfect place to relax and enjoy good meal and coffee,place to,Locationreviews,0
drift is the beat breakfast,breakfast,foodreview,1
drinks co phuket is behold finally a place that can serve coffee,place,Locationreviews,0
drum bbq is dark choc ice cream,bbq,foodreview,1
drum bbq is excellent,bbq,foodreview,1
drum bbq is flavourless,bbq,foodreview,1
drum bbq is oreo and graham cracker ice cream,bbq,foodreview,1
drunken sailors is lunch at colonnade,lunch,foodreview,1
drunken sailors is wonderful brunch with my dad,wonderful,Locationreviews,0
duang is lunch at colonnade,lunch,foodreview,1
duang is wonderful brunch with my dad,wonderful,Locationreviews,0
duck spicy is awesome thai food and also european food for the kids,european food,foodreview,1
duck spicy is delicious food great value,delicious,foodreview,1
duck spicy is my favourite place,place,Locationreviews,0
dune bar restaurant is awesome thai food and also european food for the kids,european food,foodreview,1
dune bar restaurant is delicious food great value,delicious,foodreview,1
dune bar restaurant is my favourite place,place,Locationreviews,0
duo chef koh samed is tasty local and european food,tasty,foodreview,1
duo chef koh samed is wonderful hostess owner,wonderful,Locationreviews,0
duo cucina yodpiman is tasty local and european food,tasty,foodreview,1
duo cucina yodpiman is wonderful hostess owner,wonderful,Locationreviews,0
dusita restaurant and coffee stop is delicious affordable thai food,delicious,foodreview,1
dusita restaurant and coffee stop is good food,good food,foodreview,1
dusita restaurant and coffee stop is hidden gem,hidden gem,Locationreviews,0
dynasty central world is local flavour yong tau foo,local,Locationreviews,0
dynasty is great breakfast spot,breakfast,foodreview,1
e pochana sea food is dinner,sea,Locationreviews,0
e pochana sea food is food,sea,Locationreviews,0
e pochana sea food is my local,sea,Locationreviews,0
e pochana sea food is restaurant not exist anymore,sea,Locationreviews,0
e saan station is tasty sushi and good people,tasty,foodreview,1
e saan station is yummy sushi and friendly service,yummy,foodreview,1
eagle nest bar is great place to eat in hua hin,great place,Locationreviews,0
eagle nest bar is looking for something small to eat,eat,foodreview,1
eagle nest bar is tapas,tapas,foodreview,1
east 88 restaurant beach lounge is breakfast spot,breakfast,foodreview,1
east 88 restaurant beach lounge is great place to eat,great place,Locationreviews,0
east ocean is great food and amazing service,great food,foodreview,1
east restaurant is absolutely wonderful restaurant,wonderful,Locationreviews,0
east restaurant is delicious food,delicious,foodreview,1
east restaurant is superb food in superb location,superb food,foodreview,1
eastbound is best food in phuket,best food,foodreview,1
eastbound is delicious,delicious,foodreview,1
eastbound is good food and lovely location,good food,foodreview,1
eastbound is great food,great food,foodreview,1
easy health co ltd is awful breakfast but excellent in the evening,breakfast,foodreview,1
easy health co ltd is we have had some great meals here,meals,foodreview,1
eat am are is amazing,eat,foodreview,1
eat am are is best pizza,eat,foodreview,1
eat am are is great authentic italian food and service,eat,foodreview,1
eat am are is i am regular for pizza there,eat,foodreview,1
eat bar grill is amazing,eat,foodreview,1
eat bar grill is best pizza ever,eat,foodreview,1
eat bar grill is nice one,eat,foodreview,1
eat bar grill is wouldn t go back again,eat,foodreview,1
eat hua hin is food poisoning,eat,foodreview,1
eat hua hin is great atmosphere,eat,foodreview,1
eat hua hin is great nice meat,eat,foodreview,1
eat hua hin is me and my friend we are happy,eat,foodreview,1
eat me restaurant is best italian in phuket,eat,foodreview,1
eat me restaurant is best spaghetti putanesca,eat,foodreview,1
eat me restaurant is decent pizza,eat,foodreview,1
eat me restaurant is ok pizza,eat,foodreview,1
eat meat sweet is a place to relax enjoy and explore,eat,foodreview,1
eat meat sweet is awesome cold brew costa rica coffee,eat,foodreview,1
eat meat sweet is great place,eat,foodreview,1
eat meat sweet is review,eat,foodreview,1
eat sight story is costa coffee at siam paragon,eat,foodreview,1
eat sight story is good,eat,foodreview,1
eat sight story is poor,eat,foodreview,1
eat sight story is was ok,eat,foodreview,1
eat talk restobar is beautiful,eat,foodreview,1
eat talk restobar is corner restaurant  right result  ,eat,foodreview,1
eat talk restobar is little gem,eat,foodreview,1
eat talk restobar is satisfied two days in a row,eat,foodreview,1
eathai is great place,great place,Locationreviews,0
eathai is nice place good coffee,nice place,Locationreviews,0
eathai is really cool peaceful oasis for a brekkie or break,oasis,foodreview,1
eathai restaurant is a hidden gem,hidden gem,Locationreviews,0
eats payao is a hidden gem,hidden gem,Locationreviews,0
eddiez nutrition station is best mexican food in patong,mexican food,foodreview,1
edelweiss restaurant is all you can eat and worth it,eat,foodreview,1
edelweiss restaurant is fresh lobster and oyster,lobster,foodreview,1
eden bar restaurant is amazing fresh food,fresh food,foodreview,1
eden bar restaurant is crab house not to be confused with  the crab house ,crab,foodreview,1
eden bar restaurant is do not get mixed up with the crab house,crab,foodreview,1
eden bungalow restaurant is great breakfast buffet spread,breakfast,foodreview,1
eden bungalow restaurant is great view hospitality,view,Locationreviews,0
eden bungalow restaurant is wow what a magical view,view,Locationreviews,0
